"ordre","reference","intitule","bareme","phase_evaluation_reference","unite_apprentissage_reference"
"1","DWB-1.1.1-sait-definir-ce-qu-est-un-wireframe-et-expliquer-son-utilite-dans-un-projet-web","Sait définir ce qu’est un wireframe et expliquer son utilité dans un projet web.","2","N2","DWB-1.1.1"
"2","DWB-1.1.1-identifie-correctement-les-etapes-principales-du-cycle-de-vie-d-un-projet-conception-developpement-test-deploiement","Identifie correctement les étapes principales du cycle de vie d’un projet (conception, développement, test, déploiement).","2","N2","DWB-1.1.1"
"3","DWB-1.1.1-elabore-un-mini-wireframe-simple-sur-papier-ou-outil-et-le-relie-a-une-etape-precise-du-cycle-projet","Élabore un mini-wireframe simple (sur papier ou outil) et le relie à une étape précise du cycle projet.","2","N3","DWB-1.1.1"
"1","DWB-1.1.2-connait-au-moins-deux-outils-de-maquettage-et-leur-usage-figma-adobe-xd-etc","Connaît au moins deux outils de maquettage et leur usage (Figma, Adobe XD, etc.).","2","N2","DWB-1.1.2"
"2","DWB-1.1.2-realise-une-maquette-basique-en-utilisant-figma-formes-texte-couleurs","Réalise une maquette basique en utilisant Figma (formes, texte, couleurs).","2","N2","DWB-1.1.2"
"3","DWB-1.1.2-concoit-une-maquette-fonctionnelle-et-claire-pour-une-page-web-respectant-les-bonnes-pratiques-de-design","Conçoit une maquette fonctionnelle et claire pour une page web, respectant les bonnes pratiques de design.","2","N3","DWB-1.1.2"
"1","DWB-1.2.1-sait-definir-l-ux-et-les-etapes-cles-du-design-thinking","Sait définir l’UX et les étapes clés du Design Thinking.","2","N2","DWB-1.2.1"
"2","DWB-1.2.1-identifie-des-problemes-d-ergonomie-dans-une-interface-simple-ex-navigation-compliquee","Identifie des problèmes d’ergonomie dans une interface simple (ex. navigation compliquée).","2","N2","DWB-1.2.1"
"3","DWB-1.2.1-propose-des-ameliorations-ux-pour-une-interface-donnee-structure-parcours-utilisateur","Propose des améliorations UX pour une interface donnée (structure, parcours utilisateur).","2","N3","DWB-1.2.1"
"1","DWB-1.2.2-distingue-les-elements-principaux-de-l-ui-typographie-couleurs-icones","Distingue les éléments principaux de l’UI (typographie, couleurs, icônes).","2","N2","DWB-1.2.2"
"2","DWB-1.2.2-applique-des-principes-simples-de-responsive-design-dans-une-maquette-breakpoints-proportions","Applique des principes simples de responsive design dans une maquette (breakpoints, proportions).","2","N2","DWB-1.2.2"
"3","DWB-1.2.2-analyse-et-critique-une-maquette-existante-pour-proposer-des-ameliorations-ui-et-responsive-coherentes","Analyse et critique une maquette existante pour proposer des améliorations UI et responsive cohérentes.","2","N3","DWB-1.2.2"
"1","DWB-2.1.1-sait-reproduire-la-structure-de-base-d-une-page-html-avec-les-balises-principales-html-head-body","Sait reproduire la structure de base d’une page HTML avec les balises principales (`<html>`, `<head>`, `<body>`).","2","N2","DWB-2.1.1"
"2","DWB-2.1.1-organise-correctement-une-page-html-complete-avec-integration-d-images-listes-et-tableaux","Organise correctement une page HTML complète avec intégration d’images, listes et tableaux.","2","N2","DWB-2.1.1"
"3","DWB-2.1.1-cree-une-page-html-structuree-et-valide-w3c-en-suivant-les-bonnes-pratiques-indentation-titres-hierarchises","Crée une page HTML structurée et valide W3C, en suivant les bonnes pratiques (indentation, titres hiérarchisés).","2","N3","DWB-2.1.1"
"1","DWB-2.1.2-cree-un-formulaire-simple-avec-des-champs-input-et-des-label-correctement-lies","Crée un formulaire simple avec des champs `<input>` et des `<label>` correctement liés.","2","N2","DWB-2.1.2"
"2","DWB-2.1.2-implemente-des-champs-varies-textarea-select-radio-checkbox-avec-regroupement-fieldset-legend","Implémente des champs variés (textarea, select, radio, checkbox) avec regroupement (`fieldset`, `legend`).","2","N2","DWB-2.1.2"
"3","DWB-2.1.2-realise-un-formulaire-accessible-labels-clairs-attributs-aria-messages-d-erreur-et-valide-les-normes-w3c","Réalise un formulaire accessible (labels clairs, attributs ARIA, messages d’erreur) et valide les normes W3C.","2","N3","DWB-2.1.2"
"1","DWB-2.1.3-identifie-et-utilise-les-balises-semantiques-de-base-header-main-footer","Identifie et utilise les balises sémantiques de base (`<header>`, `<main>`, `<footer>`).","2","N2","DWB-2.1.3"
"2","DWB-2.1.3-organise-une-page-web-en-sections-logiques-integrant-des-balises-adaptees-pour-le-seo","Organise une page web en sections logiques, intégrant des balises adaptées pour le SEO.","2","N2","DWB-2.1.3"
"3","DWB-2.1.3-produit-un-code-optimise-valide-w3c-et-respectant-les-conventions-attributs-alt-titres-hierarchiques","Produit un code optimisé, validé W3C et respectant les conventions (attributs alt, titres hiérarchiques).","2","N3","DWB-2.1.3"
"1","DWB-2.2.1-applique-des-styles-simples-couleur-taille-de-texte-en-utilisant-des-selecteurs-de-base","Applique des styles simples (couleur, taille de texte) en utilisant des sélecteurs de base.","2","N2","DWB-2.2.1"
"2","DWB-2.2.1-utilise-correctement-les-unites-relatives-absolues-la-cascade-et-le-modele-de-boite-padding-margin","Utilise correctement les unités relatives/absolues, la cascade et le modèle de boîte (padding, margin).","2","N2","DWB-2.2.1"
"3","DWB-2.2.1-cree-une-feuille-de-style-propre-structuree-et-reutilisable","Crée une feuille de style propre, structurée et réutilisable.","2","N3","DWB-2.2.1"
